years,sex,city_state,population,female_comparison,male_comparison,male_pop_2000,female_pop_2000,total_pop_2000,total_pop_2020,city_state_year,pop_increase,price_increase
2000,Male,Garland TX,106937,0.504,0.496,106937,108831,215768,246018,Garland TX 2000,1.140,1.05370806
2000,Female,Garland TX,108831,0.504,0.496,106937,108831,215768,246018,Garland TX 2000,1.140,1.05370806
2020,Both,Garland TX,246018,0.504,0.496,,,215768,246018,Garland TX 2020,1.140,1.05370806
2000,Both,Gary IN,102746,0.542,0.458,47088,55658,102746,,Gary IN 2000,,
2000,Male,Gary IN,47088,0.542,0.458,47088,55658,102746,,Gary IN 2000,,
2000,Female,Gary IN,55658,0.542,0.458,47088,55658,102746,,Gary IN 2000,,
2000,Both,Gilbert AZ,109697,0.503,0.497,54531,55166,109697,267918,Gilbert AZ 2000,2.442,1.12707995
2000,Male,Gilbert AZ,54531,0.503,0.497,54531,55166,109697,267918,Gilbert AZ 2000,2.442,1.12707995
2000,Female,Gilbert AZ,55166,0.503,0.497,54531,55166,109697,267918,Gilbert AZ 2000,2.442,1.12707995
2020,Both,Gilbert AZ,267918,0.503,0.497,,,109697,267918,Gilbert AZ 2020,2.442,1.12707995
2000,Both,Glendale AZ,218812,0.501,0.499,109168,109644,218812,248325,Glendale AZ 2000,1.135,1.041107322
2000,Male,Glendale AZ,109168,0.501,0.499,109168,109644,218812,248325,Glendale AZ 2000,1.135,1.041107322
2000,Female,Glendale AZ,109644,0.501,0.499,109168,109644,218812,248325,Glendale AZ 2000,1.135,1.041107322
2020,Both,Glendale AZ,248325,0.501,0.499,,,218812,248325,Glendale AZ 2020,1.135,1.041107322
2000,Both,Glendale CA,194973,0.523,0.477,93074,101899,194973,196543,Glendale CA 2000,1.008,1.996175961
2000,Male,Glendale CA,93074,0.523,0.477,93074,101899,194973,196543,Glendale CA 2000,1.008,1.996175961
2000,Female,Glendale CA,101899,0.523,0.477,93074,101899,194973,196543,Glendale CA 2000,1.008,1.996175961
2020,Both,Glendale CA,196543,0.523,0.477,,,194973,196543,Glendale CA 2020,1.008,1.996175961
2000,Both,Grand Prairie TX,127427,0.505,0.495,63058,64369,127427,196100,Grand Prairie TX 2000,1.539,1.089540676
2000,Male,Grand Prairie TX,63058,0.505,0.495,63058,64369,127427,196100,Grand Prairie TX 2000,1.539,1.089540676
2000,Female,Grand Prairie TX,64369,0.505,0.495,63058,64369,127427,196100,Grand Prairie TX 2000,1.539,1.089540676
2020,Both,Grand Prairie TX,196100,0.505,0.495,,,127427,196100,Grand Prairie TX 2020,1.539,1.089540676
2000,Both,Grand Rapids MI,368440,0.511,0.489,180113,188328,368441,198917,Grand Rapids MI 2000,0.540,0.974241709
2000,Male,Grand Rapids MI,180113,0.511,0.489,180113,188328,368441,198917,Grand Rapids MI 2000,0.540,0.974241709
2000,Female,Grand Rapids MI,188328,0.511,0.489,180113,188328,368441,198917,Grand Rapids MI 2000,0.540,0.974241709
2020,Both,Grand Rapids MI,198917,0.511,0.489,,,368441,198917,Grand Rapids MI 2020,0.540,0.974241709
2000,Both,Green Bay WI,144815,0.506,0.494,71547,73268,144815,107395,Green Bay WI 2000,0.742,
2000,Male,Green Bay WI,71547,0.506,0.494,71547,73268,144815,107395,Green Bay WI 2000,0.742,
2000,Female,Green Bay WI,73268,0.506,0.494,71547,73268,144815,107395,Green Bay WI 2000,0.742,
2020,Both,Green Bay WI,107395,0.506,0.494,,,144815,107395,Green Bay WI 2020,0.742,
2000,Both,Greensboro NC,245888,0.527,0.473,116379,129509,245888,299035,Greensboro NC 2000,1.216,0.385527803
2000,Male,Greensboro NC,116379,0.527,0.473,116379,129509,245888,299035,Greensboro NC 2000,1.216,0.385527803
2000,Female,Greensboro NC,129509,0.527,0.473,116379,129509,245888,299035,Greensboro NC 2000,1.216,0.385527803
2020,Both,Greensboro NC,299035,0.527,0.473,,,245888,299035,Greensboro NC 2020,1.216,0.385527803
2000,Both,Hampton VA,146437,0.504,0.496,72579,73858,146437,137148,Hampton VA 2000,0.937,0.871361617
2000,Male,Hampton VA,72579,0.504,0.496,72579,73858,146437,137148,Hampton VA 2000,0.937,0.871361617
2000,Female,Hampton VA,73858,0.504,0.496,72579,73858,146437,137148,Hampton VA 2000,0.937,0.871361617
2020,Both,Hampton VA,137148,0.504,0.496,,,146437,137148,Hampton VA 2020,0.937,0.871361617
2000,Both,Hartford CT,486557,0.523,0.477,232187,254370,486557,121054,Hartford CT 2000,0.249,0.458862353
2000,Male,Hartford CT,232187,0.523,0.477,232187,254370,486557,121054,Hartford CT 2000,0.249,0.458862353
2000,Female,Hartford CT,254370,0.523,0.477,232187,254370,486557,121054,Hartford CT 2000,0.249,0.458862353
2020,Both,Hartford CT,121054,0.523,0.477,,,486557,121054,Hartford CT 2020,0.249,0.458862353
2000,Both,Hayward CA,140030,0.504,0.496,69490,70540,140030,162954,Hayward CA 2000,1.164,1.599899153
2000,Male,Hayward CA,69490,0.504,0.496,69490,70540,140030,162954,Hayward CA 2000,1.164,1.599899153
2000,Female,Hayward CA,70540,0.504,0.496,69490,70540,140030,162954,Hayward CA 2000,1.164,1.599899153
2020,Both,Hayward CA,162954,0.504,0.496,,,140030,162954,Hayward CA 2020,1.164,1.599899153
2000,Both,Henderson NV,175381,0.504,0.496,87001,88380,175381,317610,Henderson NV 2000,1.811,0.842411172
2000,Male,Henderson NV,87001,0.504,0.496,87001,88380,175381,317610,Henderson NV 2000,1.811,0.842411172
2000,Female,Henderson NV,88380,0.504,0.496,87001,88380,175381,317610,Henderson NV 2000,1.811,0.842411172
2020,Both,Henderson NV,317610,0.504,0.496,,,175381,317610,Henderson NV 2020,1.811,0.842411172
2000,Both,Hialeah FL,226419,0.519,0.481,108893,117526,226419,223109,Hialeah FL 2000,0.985,1.451641394
2000,Male,Hialeah FL,108893,0.519,0.481,108893,117526,226419,223109,Hialeah FL 2000,0.985,1.451641394
2000,Female,Hialeah FL,117526,0.519,0.481,108893,117526,226419,223109,Hialeah FL 2000,0.985,1.451641394
2020,Both,Hialeah FL,223109,0.519,0.481,,,226419,223109,Hialeah FL 2020,0.985,1.451641394
2000,Both,Hollywood FL,139357,0.515,0.485,67577,71780,139357,153067,Hollywood FL 2000,1.098,1.675199626
2000,Male,Hollywood FL,67577,0.515,0.485,67577,71780,139357,153067,Hollywood FL 2000,1.098,1.675199626
